scenario,animal_id,session_id,session,group,timepoint,abf_file,wmv_file,abf_path,wmv_path,abf_gb,wmv_gb
A,16653,16653,,WT,6m,21704001.abf,Video 6636.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16653_03Jul21_6mon_Baseline\21704001.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16653_03Jul21_6mon_Baseline\Video 6636.wmv,0.134,1.085
A,16653,16653,,WT,6m,21704002.abf,Video 6637.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16653_03Jul21_6mon_Baseline\21704002.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16653_03Jul21_6mon_Baseline\Video 6637.wmv,0.134,1.081
A,16653,16653,,WT,6m,21704003.abf,Video 6638.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16653_03Jul21_6mon_Baseline\21704003.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16653_03Jul21_6mon_Baseline\Video 6638.wmv,0.134,1.119
A,16653,16653,,WT,6m,21704004.abf,Video 6639.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16653_03Jul21_6mon_Baseline\21704004.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16653_03Jul21_6mon_Baseline\Video 6639.wmv,0.134,1.079
A,16653,16653,,WT,6m,21704005.abf,Video 6640.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16653_03Jul21_6mon_Baseline\21704005.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16653_03Jul21_6mon_Baseline\Video 6640.wmv,0.134,0.824
A,16653,16653,,WT,6m,21704006.abf,Video 6641.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16653_03Jul21_6mon_Baseline\21704006.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16653_03Jul21_6mon_Baseline\Video 6641.wmv,0.134,0.585
A,16653,16653,,WT,6m,21704007.abf,Video 6642.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16653_03Jul21_6mon_Baseline\21704007.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16653_03Jul21_6mon_Baseline\Video 6642.wmv,0.134,0.561
A,16657,16657,,WT,6m,21702001.abf,Video 6617.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\21702001.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\Video 6617.wmv,0.134,0.627
A,16657,16657,,WT,6m,21702002.abf,Video 6618.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\21702002.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\Video 6618.wmv,0.134,0.628
A,16657,16657,,WT,6m,21702003.abf,Video 6619.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\21702003.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\Video 6619.wmv,0.134,0.646
A,16657,16657,,WT,6m,21702004.abf,Video 6620.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\21702004.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\Video 6620.wmv,0.134,0.642
A,16657,16657,,WT,6m,21702005.abf,Video 6621.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\21702005.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\Video 6621.wmv,0.134,0.641
A,16657,16657,,WT,6m,21702006.abf,Video 6622.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\21702006.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\Video 6622.wmv,0.134,0.654
A,16657,16657,,WT,6m,21702007.abf,Video 6623.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\21702007.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\Video 6623.wmv,0.134,0.693
A,16657,16657,,WT,6m,21703000.abf,Video 6624.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\21703000.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\Video 6624.wmv,0.134,0.739
A,16657,16657,,WT,6m,21703001.abf,Video 6625.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\21703001.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\Video 6625.wmv,0.134,0.699
A,16657,16657,,WT,6m,21703002.abf,Video 6626.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\21703002.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\Video 6626.wmv,0.134,0.671
A,16657,16657,,WT,6m,21703003.abf,Video 6627.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\21703003.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\Video 6627.wmv,0.134,0.66
A,16657,16657,,WT,6m,21703004.abf,Video 6628.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\21703004.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\Video 6628.wmv,0.134,0.652
