session_id,group,timepoint,abf_file,n_epochs,pct_wake,pct_nrem,pct_rem,animal_id
166582,WT,12m,22301010.abf,1800,69.83333333333334,30.166666666666668,0.0,16658
166582,WT,12m,22302000.abf,1800,69.16666666666667,30.833333333333336,0.0,16658
166582,WT,12m,22302001.abf,1800,64.94444444444444,35.05555555555556,0.0,16658
166582,WT,12m,22302002.abf,1800,70.33333333333334,29.666666666666668,0.0,16658
166582,WT,12m,22302003.abf,1800,69.38888888888889,30.61111111111111,0.0,16658
166582,WT,12m,22302004.abf,1800,69.77777777777779,30.22222222222222,0.0,16658
166582,WT,12m,22302005.abf,1800,69.83333333333334,30.166666666666668,0.0,16658
166582,WT,12m,22302006.abf,1800,70.72222222222221,29.27777777777778,0.0,16658
166582,WT,12m,22302007.abf,1800,60.72222222222222,39.27777777777778,0.0,16658
166582,WT,12m,22302008.abf,1800,62.5,37.5,0.0,16658
166582,WT,12m,22302009.abf,1800,69.16666666666667,30.833333333333336,0.0,16658
