animal_id,session_id,group,timepoint,wake_bp_delta,wake_bp_theta,wake_bp_alpha,wake_bp_beta,wake_bp_gamma,wake_n_epochs,nrem_bp_delta,nrem_bp_theta,nrem_bp_alpha,nrem_bp_beta,nrem_bp_gamma,nrem_n_epochs,rem_bp_delta,rem_bp_theta,rem_bp_alpha,rem_bp_beta,rem_bp_gamma,rem_n_epochs,all_bp_delta,all_bp_theta,all_bp_alpha,all_bp_beta,all_bp_gamma,all_n_epochs
16645,166451,WT,3m,0.500654873963301,0.23251474405877465,0.11709748279261414,0.07694158664188415,0.023139733794671245,1118,0.6042178815036755,0.16330881373568443,0.09632814362537566,0.05660746795814458,0.020869067163711185,430,0.29134888118074537,0.40980920609008514,0.17186954393674483,0.0905646487164303,0.02083654539805479,252.0,0.49609208677505484,0.24080344094375322,0.11980400699617436,0.07399122031342728,0.02227485039063782,1800
16645,166451,WT,3m,0.49585707545651164,0.21079261451960682,0.10751345891953389,0.10270056557467834,0.025592704430527538,984,0.5903010948586741,0.1346835598158528,0.08078623560267299,0.050775552199836496,0.018332885159882344,471,0.30099078153367614,0.38575657756117343,0.17388174615358615,0.10076149800441588,0.021563021664391755,345.0,0.48322055419820065,0.22441217145509149,0.11324042387148198,0.08874186579062775,0.022920695857866023,1800
16645,166451,WT,3m,0.42711879434722566,0.2534526043379007,0.1276562781273198,0.10198105834221849,0.0355324952574138,1180,0.5237206134050112,0.19402558962716693,0.12185226186321844,0.08684147351918146,0.03070869734591111,424,0.24316538408833543,0.433202099088373,0.17357975694674163,0.1047084652450704,0.028338952058340534,196.0,0.42984340705264706,0.2590269636344238,0.1312896664343352,0.09871182933554697,0.03361292593436074,1800
16645,166451,WT,3m,0.3604644932675721,0.30615830358954443,0.14895526550514207,0.11489031108803324,0.036978153240667416,1198,0.46800069461507127,0.23481100581792272,0.13220239267013234,0.09758041815743707,0.033923959624228686,491,0.20789840717048105,0.46558158101365055,0.16817028429018485,0.10916550765338463,0.03115389478718786,111.0,0.3803897373258193,0.29652744836077194,0.1455703802402254,0.10981552741571729,0.03578587448844094,1800
16645,166451,WT,3m,0.4253195319116736,0.23983274022054815,0.1369186234871915,0.10550246747541875,0.040963835876765796,1197,0.4910032694741519,0.18687431236249216,0.141713276708776,0.09674515158392415,0.03958527960455912,454,0.22907560162469648,0.4168194576333644,0.18749931354845298,0.11384989762850561,0.033404104347727705,149.0,0.4256417937120101,0.24112601502441047,0.14231489869926223,0.10398465951879177,0.039990355573761065,1800
16645,166452,WT,3m,0.38498700749050213,0.2525256596776261,0.1522676854781217,0.11293997607317227,0.04807124973832529,1161,0.465300751802783,0.18530479832170987,0.15602660634719212,0.10045028114061962,0.04515063983300659,511,0.23271651910807578,0.39058121602074536,0.18255293753953075,0.12124240885481347,0.04556192003652842,128.0,0.3969590635075159,0.24325968804376283,0.1554884192714302,0.10998468567623655,0.047063679814187596,1800
16645,166452,WT,3m,0.3465810001421363,0.3076411038022973,0.15701374774176943,0.11494856790446187,0.039968440352831015,1196,0.45237256786133667,0.24638411899216414,0.1355374589610497,0.10069675825097468,0.035004673622268195,477,0.1930783871984312,0.47727407680914224,0.16936469060869463,0.10735754977014768,0.03489414946876942,127.0,0.36378530345225185,0.3033765514786505,0.1521939588504895,0.11063624984458893,0.03829502275685641,1800
16645,166452,WT,3m,0.3635304248322749,0.30465682271839173,0.14761157671110295,0.10877868738663908,0.03730240465537313,1166,0.45589214088803093,0.25340898788498584,0.13891125626786507,0.09508174524601253,0.03055893563403718,454,0.18672627524674626,0.4931443223463427,0.16650558102299465,0.10603283703963255,0.03168824836454923,180.0,0.36914568714556273,0.3105797298954278,0.14730656298605324,0.1050494291675804,0.03504013628424267,1800
16645,166452,WT,3m,0.3431951474920102,0.32777533976726114,0.15606773673127325,0.10939495896094632,0.035980933649061485,1193,0.460614918134971,0.26220149317631886,0.13415310346650625,0.09032670719733603,0.028080618856970618,479,0.1814813029652744,0.5046903167129271,0.1612381614904404,0.10402320000328408,0.0326828478176525,128.0,0.36294220195787463,0.32290603117391886,0.15060368397313437,0.10393869354908515,0.03364404155359933,1800
16645,166452,WT,3m,0.3418692852863642,0.3295599863851299,0.15709877399008068,0.10814634856849081,0.03529879239008921,1159,0.45697796897784465,0.2593076261782373,0.13930858706628652,0.09242260853990077,0.02731757315650974,478,0.17146362295364356,0.5126891563619407,0.16718912099782585,0.10081045369606675,0.03271565664854394,163.0,0.3570058563109721,0.3274874455669774,0.15328822799713002,0.10330651601411794,0.03294541799035429,1800
