feature,timepoint,tp_x,wt_mean,wt_sem,ko_mean,ko_sem,cohens_d,pval,n_wt,n_ko,scenario,pval_fdr,sig
nrem_rms,7m,7,0.10210884368389894,0.012139623945375858,0.16758784116971945,0.045701145660437,0.7908422483592893,0.4908424908424909,8,6,A_animal,1.0,ns
nrem_p2p,7m,7,0.44654460446053085,0.09985411997079523,0.8843871182002822,0.29513280230051,0.7978020264566881,0.2823842823842824,8,6,A_animal,1.0,ns
nrem_zcr,7m,7,0.09575191449650586,0.009358447537272519,0.13846502174406553,0.048625935774422265,0.4950679098728072,0.9497169497169498,8,6,A_animal,1.0,ns
nrem_coeff_var,7m,7,23.77314390533843,13.081629195715783,34.383371037590706,31.450744004850883,0.17557449903806696,0.662004662004662,8,6,A_animal,1.0,ns
nrem_hjorth_mob,7m,7,0.3106306213693938,0.02930175563251318,0.4231799488623644,0.13488142089391308,0.4672818114775554,0.9497169497169498,8,6,A_animal,1.0,ns
nrem_hjorth_comp,7m,7,3.992118374707902,0.26991896875833354,3.6019230227150807,0.39965326214398544,-0.4444976904695808,0.662004662004662,8,6,A_animal,1.0,ns
nrem_lzc,7m,7,0.05021817424423572,0.0002922370232307403,0.05034764165050335,0.0003340730334047652,0.15740508264471612,0.7545787545787546,8,6,A_animal,1.0,ns
all_bp_delta,7m,7,0.23203105149060216,0.0563942523185413,0.4405315914203561,0.16573103211657902,0.6760326552687653,0.22843822843822847,8,6,A_animal,1.0,ns
all_bp_theta,7m,7,0.04748298641882137,0.008498472096649994,0.11156689255834351,0.045401008638942766,0.796540534766104,0.18115218115218118,8,6,A_animal,1.0,ns
all_bp_alpha,7m,7,0.02436207689198122,0.004534169920457158,0.05560861572859067,0.02218062890319594,0.7915779581896007,0.22843822843822847,8,6,A_animal,1.0,ns
all_bp_beta,7m,7,0.029726150225580523,0.005519207479531421,0.06032796790080621,0.024478775555954055,0.6984826883812205,0.4135864135864136,8,6,A_animal,1.0,ns
all_bp_gamma,7m,7,0.017469837927094674,0.0034353437635847774,0.03499331878020389,0.014176968960688506,0.6872398271540707,0.4908424908424909,8,6,A_animal,1.0,ns
all_rbp_delta,7m,7,0.38971785619674104,0.03671895602972877,0.413171737853357,0.04593497130946952,0.2166166296504934,0.8518148518148518,8,6,A_animal,1.0,ns
all_rbp_theta,7m,7,0.2663317444496628,0.009755393547049615,0.26095173651990194,0.029389319388543174,-0.09868887919550605,0.4908424908424909,8,6,A_animal,1.0,ns
all_rbp_alpha,7m,7,0.14309859222100912,0.009919375339315558,0.13208094841410456,0.017041478110774458,-0.3097959453366812,0.5727605727605728,8,6,A_animal,1.0,ns
all_rbp_beta,7m,7,0.1231759548193914,0.014849155073536976,0.11605061471754513,0.009803395757800223,-0.2082836819068132,0.7545787545787546,8,6,A_animal,1.0,ns
all_rbp_gamma,7m,7,0.07767576390955491,0.011215411676191977,0.07774468975033996,0.009133598787247003,0.002511114033881415,0.9497169497169498,8,6,A_animal,1.0,ns
all_td_ratio,7m,7,0.9354449406700251,0.11532889143829514,0.8906684656006932,0.14570788076376615,-0.13096379223595775,1.0,8,6,A_animal,1.0,ns
all_theta_alpha,7m,7,2.2410597145946003,0.11435870083329337,2.384017805258242,0.11272982761491997,0.475377701027771,0.4135864135864136,8,6,A_animal,1.0,ns
all_theta_beta,7m,7,2.81298785577998,0.3371941714350729,2.7441289655681778,0.29582874083031996,-0.08130109865383825,0.9497169497169498,8,6,A_animal,1.0,ns
all_slow_fast,7m,7,45.922206121873536,24.253801484979682,10.571616011544165,2.9164524401442633,-0.7248441985619755,0.4908424908424909,8,6,A_animal,1.0,ns
all_high_freq_idx,7m,7,0.2008517187289464,0.02392705325602842,0.19379530446788518,0.011596201732020717,-0.13596624951270642,0.7545787545787546,8,6,A_animal,1.0,ns
all_spectral_entropy,7m,7,0.8311611881455059,0.027909957580820443,0.8098484087016469,0.034879923415340845,-0.2591099179589427,0.4135864135864136,8,6,A_animal,1.0,ns
all_ap_exp,7m,7,1.6775445504316733,0.09582771727559372,1.6686976422309145,0.0748430868956341,-0.03823556143039695,0.8518148518148518,8,6,A_animal,1.0,ns
all_total_var,7m,7,0.5089385980385606,0.12094423731405378,0.9244469811095305,0.34143215666319754,0.6503141289166919,0.2823842823842824,8,6,A_animal,1.0,ns
all_rms,7m,7,0.2604762291034285,0.037509612929066245,0.40283292982554153,0.09406641120621846,0.7936513307926976,0.22843822843822847,8,6,A_animal,1.0,ns
all_p2p,7m,7,1.3949144026709157,0.15164851675033775,2.2448563579279424,0.42184590024381685,1.0743698169300966,0.1078921078921079,8,6,A_animal,1.0,ns
all_zcr,7m,7,0.0893980542552388,0.009437882016802812,0.1281392725201025,0.04414002443230351,0.49196160306549697,0.9497169497169498,8,6,A_animal,1.0,ns
all_coeff_var,7m,7,40.00441910046016,24.487309211953363,21.9081748473111,16.81368124813491,-0.3175946630325069,0.7545787545787546,8,6,A_animal,1.0,ns
all_hjorth_mob,7m,7,0.2998360601401055,0.02762041590800938,0.40021368781067457,0.12127094341114648,0.4621651567254036,0.9497169497169498,8,6,A_animal,1.0,ns
all_hjorth_comp,7m,7,5.17064001493395,0.8274279768019889,4.1516952668517355,0.3532131634506685,-0.5775281448521247,0.662004662004662,8,6,A_animal,1.0,ns
all_lzc,7m,7,0.050366340729776686,0.00030948180998817453,0.05050474918265611,0.0003239739999961726,0.16565549312481903,0.7545787545787546,8,6,A_animal,1.0,ns
wake_bp_delta,9m,9,0.14737974106455523,0.07001481062177134,0.18522084001765776,0.0737014485495408,0.2366454378654714,0.7619047619047619,6,4,A_animal,1.0,ns
wake_bp_theta,9m,9,0.030586708744781924,0.014257181579814976,0.037855953236927045,0.014550331869585844,0.22614739686830265,0.47619047619047616,6,4,A_animal,1.0,ns
wake_bp_alpha,9m,9,0.016192381262771977,0.007661151373860907,0.019029625592696546,0.007518834145567751,0.1668547123659877,0.35238095238095235,6,4,A_animal,1.0,ns
wake_bp_beta,9m,9,0.017322354145456454,0.008304557688762971,0.021224098452613787,0.007496945314914481,0.2183512068664859,0.2571428571428571,6,4,A_animal,1.0,ns
wake_bp_gamma,9m,9,0.010329744101408073,0.004692911678814573,0.03625577630774181,0.027281938513122078,0.6575302418888959,0.35238095238095235,6,4,A_animal,1.0,ns
wake_rbp_delta,9m,9,0.4480604502315772,0.041266225842382966,0.4202938952662697,0.031888866919120455,-0.328546431811613,0.47619047619047616,6,4,A_animal,1.0,ns
wake_rbp_theta,9m,9,0.23532888038096625,0.0064702849149272145,0.24933314897812803,0.004443661259159191,1.0899464541277641,0.11428571428571428,6,4,A_animal,1.0,ns
wake_rbp_alpha,9m,9,0.12922683227661128,0.012187973347214111,0.13593766405143334,0.0068983532616877065,0.288570606946539,0.47619047619047616,6,4,A_animal,1.0,ns
wake_rbp_beta,9m,9,0.12107789542841928,0.014220132889963502,0.12618309626730828,0.018676779653595457,0.1413602405606928,0.9142857142857143,6,4,A_animal,1.0,ns
wake_rbp_gamma,9m,9,0.06630594110386025,0.012590772829079385,0.06825219282519837,0.02187980872582891,0.051412726399487206,0.9142857142857143,6,4,A_animal,1.0,ns
wake_td_ratio,9m,9,0.6822788306363347,0.10958566149125613,0.7208358040569489,0.05299563715397082,0.1889409331037737,0.35238095238095235,6,4,A_animal,1.0,ns
wake_theta_alpha,9m,9,2.251714425675854,0.15973995638787522,2.244562811608462,0.13821332113021984,-0.02111133036719932,0.9142857142857143,6,4,A_animal,1.0,ns
wake_theta_beta,9m,9,2.655543084581245,0.2977551295416621,2.567872720974328,0.40582911836096375,-0.11362129529610364,0.9142857142857143,6,4,A_animal,1.0,ns
wake_slow_fast,9m,9,1694.464614082098,1686.4865713410786,596.8005022160975,588.397570153751,-0.3613958134965838,0.9142857142857143,6,4,A_animal,1.0,ns
wake_high_freq_idx,9m,9,0.1873838365322796,0.02511481421280559,0.19443528909250674,0.028748038775209324,0.11842968984476954,0.9142857142857143,6,4,A_animal,1.0,ns
wake_spectral_entropy,9m,9,0.8092574251737322,0.03212098601268822,0.8040590940579071,0.034655238598444875,-0.0701118479913738,0.7619047619047619,6,4,A_animal,1.0,ns
wake_ap_exp,9m,9,1.7543572195590447,0.1351510551334829,1.7784890450078867,0.1299607960844846,0.0810829597143669,0.7619047619047619,6,4,A_animal,1.0,ns
wake_total_var,9m,9,0.3057334626144569,0.13552375860403112,0.5627422482300759,0.31296903699721496,0.5129933214204104,0.35238095238095235,6,4,A_animal,1.0,ns
wake_rms,9m,9,0.188611863215416,0.03640820610099023,0.29311858457132334,0.14735186383121363,0.4800060736459155,0.9142857142857143,6,4,A_animal,1.0,ns
wake_p2p,9m,9,1.2544519623812793,0.2130450982524798,1.639809266797812,0.6221215369351963,0.4039120565765209,1.0,6,4,A_animal,1.0,ns
wake_zcr,9m,9,0.0913698362578746,0.008310332972580334,0.07966278671530416,0.013956135955310074,-0.4792450364275603,0.6095238095238095,6,4,A_animal,1.0,ns
wake_coeff_var,9m,9,98.94639898243425,45.82764621568081,37.911236651265696,20.49411232282333,-0.7222951098277095,0.9142857142857143,6,4,A_animal,1.0,ns
wake_hjorth_mob,9m,9,0.2925246160186173,0.026960629671492896,0.25771871201982793,0.04585706087970386,-0.43553793527761914,0.6095238095238095,6,4,A_animal,1.0,ns
wake_hjorth_comp,9m,9,4.79668807502344,0.5187152911926983,4.907860345365414,0.4801771914107281,0.0987140921601672,0.7619047619047619,6,4,A_animal,1.0,ns
wake_lzc,9m,9,0.050229226746703104,0.0002495854341564299,0.0504363891039951,0.0002076509858609032,0.39633037483297856,0.35238095238095235,6,4,A_animal,1.0,ns
nrem_bp_delta,9m,9,0.001922619881771724,0.0008883488143126024,0.003167751202104715,0.0026161974895097533,0.31073400059732303,0.6095238095238095,6,4,A_animal,1.0,ns
nrem_bp_theta,9m,9,0.002502867160973443,0.0012054613495647724,0.004288146666571158,0.0034497768089060354,0.3364177158480706,0.9142857142857143,6,4,A_animal,1.0,ns
nrem_bp_alpha,9m,9,0.0011928341396365623,0.0005804944321708389,0.001958754851516165,0.0015921450644487624,0.3105995635480777,0.9142857142857143,6,4,A_animal,1.0,ns
nrem_bp_beta,9m,9,0.001028913159514752,0.0004657986356638231,0.0013220523951955917,0.0009556629315279087,0.18623417226925473,1.0,6,4,A_animal,1.0,ns
nrem_bp_gamma,9m,9,0.000533471936783218,0.00023964162004573746,0.0005734412925160392,0.0004216367772328657,0.05500916910821259,0.9142857142857143,6,4,A_animal,1.0,ns
nrem_rbp_delta,9m,9,0.2996275849299301,0.031147947513895578,0.26901584522335453,0.022189716672075737,-0.49047255432953635,0.47619047619047616,6,4,A_animal,1.0,ns
nrem_rbp_theta,9m,9,0.33352713373312476,0.00784776352564426,0.3778204943451204,0.009190484587221033,2.3551893843656524,0.0380952380952381,6,4,A_animal,1.0,*
nrem_rbp_alpha,9m,9,0.1531653208040302,0.011360994945640301,0.15960851304989063,0.0033154817769733675,0.3185168783161883,0.9142857142857143,6,4,A_animal,1.0,ns
nrem_rbp_beta,9m,9,0.13998007444840446,0.012395489883040877,0.13954381426147952,0.01812406159516212,-0.01304795898659207,0.9142857142857143,6,4,A_animal,1.0,ns
